WOLLE,1
TERMITÄT,0
ENORM,1
WELSTBAR,0
REUEVOLL,1
ZUOBERST,1
RUPPIG,1
PETURAT,0
KLAGLOS,1
ZUGIG,1
TURBULENZ,1
ZEHE,1
DEGERATION,0
UNTIEF,1
ZÜCHTUNG,1
PENSIONAT,1
ZAPFEN,1
STAKSIG,1
STALMEN,0
MALZ,1
FEIGE,1
FÜRREN,0
RASEND,1
FEIST,1
KLEMPNER,1
AUSREBEN,0
KANNIBALE,1
SCHWACHHEIT,1
ERBARMEN,1
VERMASTIGEN,0
SUBVERSIV,1
SATTELN,1
PLANG,0
EIMERWEISE,1
SCHEIL,0
STOCKFEST,0
MEHLIG,1
DÄMMRIG,1
GAREN,1
TRACHTER,0
ANPROBE,1
MONSTRÖS,1
SONITÄT,0
SPEICHERUNG,1
MALODIE,0
NARKE,0
STRÄHNE,1
DESTILLATION,1
LEUCHTE,1
FLINTE,1
MACKEL,0
ENTSACHTUNG,0
GEOGRAPH,1
SUMMIERUNG,1
WAGHALSIG,1
ZIERDE,1
FAUNIK,0
LUDAL,0
KLAMM,1
DRAUNIG,0
FLISTOR,0
UNSTETIG,1
HERZIG,1
